4.227904 9.705812 1
14.127002 11.937868 1
2.866933 4.103692 1
6.305115 4.668747 1
4.362141 2.366617 1
10.891156 17.109041 1
0.530221 -5.278277 1
1.990711 -5.990787 1
2.328955 4.344759 1
-1.480345 2.679260 1
2.110972 6.379035 1
6.370025 4.071820 1
10.119198 -1.464230 1
1.333417 0.178000 2
-4.982555 8.772878 1
6.081312 22.561316 1
3.558825 5.861262 1
5.872907 3.090572 1
4.906667 8.453864 1
11.455509 8.431133 1
7.172521 2.528578 1
-1.184398 1.153040 2
5.708228 6.468679 1
1.601641 3.116827 1
10.906583 -0.597774 1
4.967251 3.443639 1
2.629883 -2.190020 1
-0.329167 3.972950 1
3.425277 8.352847 1
0.492894 9.216399 1
2.094519 10.536743 1
1.374434 -5.464472 1
8.962666 -7.158322 1
6.374112 5.783029 1
7.389151 14.509154 1
7.978792 0.811461 1
6.638959 22.482908 1
4.182195 -3.709737 1
4.527083 10.251333 1
-0.732472 4.678647 1
2.350534 2.100466 1
-3.712492 0.331457 2
3.132288 5.772543 1
4.150157 5.819216 1
6.246226 8.172526 1
6.407199 8.275380 1
0.388582 9.533075 1
3.125543 5.600753 1
4.740245 2.184984 1
6.018071 13.483683 1
6.713296 14.285236 1
6.928125 4.941665 1
6.347374 7.861575 1
4.866307 6.064232 1
4.774205 -6.296800 1
-5.671846 0.574115 2
0.826640 6.814480 1
2.144886 -14.977328 1
8.079723 -10.938758 1
7.001340 4.685422 1
0.520430 6.070555 1
6.670775 14.235204 1
10.320808 2.022476 1
0.878884 15.161902 1
4.390938 -8.661201 1
7.601300 -1.201751 1
3.271679 -1.328978 1
3.577016 13.607570 1
-3.231449 2.982059 1
1.392409 12.910871 1
1.125146 -0.676794 2
3.958249 2.364940 1
4.802981 1.621084 1
6.429168 5.414524 1
11.066398 5.012020 1
9.934674 7.146329 1
-1.765772 13.189683 1
-6.255164 -0.526575 2
-1.922728 -8.570907 1
3.631766 1.295773 2
8.181236 -3.033461 1
7.540694 0.664691 1
2.329128 11.157549 1
6.126909 5.161875 1
6.469252 -3.162507 1
3.065556 8.383711 1
3.966782 -11.030879 1
4.456049 -11.818388 1
0.136506 7.763090 1
3.084992 -6.561352 1
3.434859 15.195554 1
1.215657 -8.520128 1
